,chi_squared,random_forest_importance,gain_ratio,information_gain,oneR,symmetrical_uncertainty
V48,0,1.48160247184659,0,0,0.258198498748958,0
V49,0,-0.88915233163082,0,0,0.258198498748958,0
V50,0,-0.283930242803741,0,0,0.258198498748958,0
V51,0,0,0,0,0.258198498748958,0
V52,0,1.55228029056769,0,0,0.258198498748958,0
V53,0,0.141240373622556,0,0,0.258198498748958,0
V54,0,0,0,0,0.258198498748958,0
V55,0,0.682241557997466,0,0,0.258198498748958,0
V56,0,1.45933390102815,0,0,0.258198498748958,0
V57,0,2.89023223193674,0,0,0.258198498748958,0
V58,0,0.794635058061824,0,0,0.258198498748958,0
V59,0,1.79480772862454,0,0,0.258198498748958,0
V60,0,2.33792794915724,0,0,0.258198498748958,0
V61,0.199920973210461,8.30948199506536,0.031826277417893,0.016465165186813,0.117295004949511,0.042787003631224
V62,0,1.54379036481663,0,0,0.258198498748958,0
V63,0,2.6041610054525,0,0,0.258198498748958,0
V64,0,3.13800086910048,0,0,0.258198498748958,0
V65,0,3.00629821083903,0,0,0.258198498748958,0
V66,0,8.30465839707278,0,0,0.258198498748958,0
V67,0,5.24007827762858,0,0,0.258198498748958,0
V68,0,2.29219676594959,0,0,0.258198498748958,0
V69,0,4.23999135625523,0,0,0.258198498748958,0
V70,0,0.039686181091463,0,0,0.258198498748958,0
V71,0,0,0,0,0.258198498748958,0
V72,0,1.84139895811984,0,0,0.258198498748958,0
V73,0,-0.116193021277186,0,0,0.258198498748958,0
V74,0,0,0,0,0.258198498748958,0
V75,0,1.6506144138213,0,0,0.258198498748958,0
V76,0,0.864539526992796,0,0,0.258198498748958,0
V77,0,0.969216477518448,0,0,0.258198498748958,0
V78,0,3.02667530661635,0,0,0.258198498748958,0
V79,0,2.89393423788215,0,0,0.258198498748958,0
V80,0,1.23710042801996,0,0,0.258198498748958,0
V81,0,1.50289152119045,0,0,0.258198498748958,0
V82,0,0.192794733897783,0,0,0.258198498748958,0
V83,0,1.0905843225408,0,0,0.258198498748958,0
V84,0,0.074493768041862,0,0,0.258198498748958,0
V85,0,-0.720691398955921,0,0,0.258198498748958,0
V86,0,-0.520071044415416,0,0,0.258198498748958,0
V87,0,1.04537844369466,0,0,0.258198498748958,0
V88,0,0.824928835039623,0,0,0.258198498748958,0
V89,0,-0.234205292354178,0,0,0.258198498748958,0
V90,0,0.62088892986707,0,0,0.258198498748958,0
V91,0,-0.293323372065656,0,0,0.258198498748958,0
V92,0,0.135228901620855,0,0,0.258198498748958,0
V93,0,0.847263140314377,0,0,0.258198498748958,0
V94,0,0,0,0,0.258198498748958,0
V95,0,0.223953381131555,0,0,0.258198498748958,0
V96,0,0.234266253839476,0,0,0.258198498748958,0
V97,0,1.44928379248211,0,0,0.258198498748958,0
V98,0,0.944669526202038,0,0,0.258198498748958,0
V99,0,1.3265996072167,0,0,0.258198498748958,0
V100,0.206665229042946,6.45298895606649,0.038505638984238,0.016146283828237,0.084573865146579,0.048082211357498
V101,0,-0.418324594413606,0,0,0.258198498748958,0
V102,0,1.19421086459607,0,0,0.258198498748958,0
V103,0,0.560666077057617,0,0,0.258198498748958,0
