"","Overall"
"V521",3.55272030745484
"V150",3.54930759769316
"V390",3.53122337575692
"V522",3.52462603459985
"V508",3.51517195422664
"V157",3.5127628585693
"V407",3.50922461541584
"V458",3.50867274340144
"V202",3.50512588621881
"V103",3.4713824398673
"V311",3.46898852859328
"V50",3.4585208476394
"V275",3.44842454519364
"V90",3.4382759181297
"V154",3.43810796740973
"V159",3.43605427943718
"V462",3.42846555775153
"V187",3.42748549410088
"V518",3.42314325333584
"V112",3.41719407793449
"V336",3.40682966797405
"V327",3.40194892382125
"V323",3.39819598780477
"V194",3.39750041152854
"V140",3.39605030243199
"V460",3.38852087083804
"V156",3.38394563317755
"V212",3.38147315907847
"V185",3.37693374173461
"V108",3.36343129987778
"V118",3.36314222472065
"V335",3.3608349530684
"V507",3.35524427540174
"V70",3.34996519353037
"V408",3.34958507508566
"V410",3.33950908792192
"V79",3.32911217219673
"V160",3.31967534957699
"V186",3.31233506603848
"V210",3.30728098434017
"V18",3.30613935950592
"V204",3.30560395236886
"V80",3.30207790655889
"V441",3.29887932559193
"V231",3.29063186124863
"V161",3.2765615922374
"V481",3.27560640400412
"V444",3.27282610087312
"V189",3.24477901822472
"V104",3.24017351353321
"V382",3.23126509667621
"V122",3.23088245295492
"V137",3.22578865414441
"V513",3.22563570856043
"V191",3.22212760053826
"V425",3.21954537214327
"V358",3.21569302420252
"V11",3.20883383565803
"V45",3.20683333975828
"V516",3.20012982798602
"V265",3.19904761987006
"V383",3.18427753875628
"V211",3.1731453493349
"V295",3.17222255331306
"V393",3.16826566036396
"V356",3.16575332559579
"V517",3.14515834509449
"V190",3.13908235069783
"V262",3.13275701136904
"V331",3.12380735891655
"V406",3.12128450648694
"V206",3.11833945305501
"V143",3.10958441836888
"V439",3.10889234930283
"V401",3.10676728199208
"V86",3.09701005466361
"V82",3.07685795615378
"V285",3.07599334039796
"V391",3.0754591945148
"V266",3.07281652859265
"V272",3.06962307417205
"V312",3.06615632983211
"V87",3.06272555912499
"V13",3.05930055489348
"V192",3.05088203240346
"V332",3.05027751743036
"V268",3.04990254080528
"V147",3.03370490551565
"V501",3.03253405869874
"V132",3.03013973484493
"V215",3.02724744308243
"V105",3.02049914691769
"V457",3.01973947132717
"V456",3.01459190618371
"V409",3.01194666760222
"V207",3.00914123023334
"V124",3.00158663280616
"V68",2.99491851215492
"V330",2.98647696319619
"V437",2.97888780076579
"V233",2.97774752256669
"V16",2.97765358070344
"V32",2.97119247522043
"V72",2.96753195462322
"V49",2.9637903520881
"V251",2.96346931733545
"V14",2.96342502368635
"V203",2.96126834766995
"V126",2.95762055628614
"V254",2.94813644626019
"V59",2.94161893938861
"V37",2.93571021747161
"V276",2.93272208580628
"V141",2.9303853521889
"V164",2.92066382317946
"V281",2.92057249022407
"V339",2.9193561386426
"V322",2.9190708078863
"V225",2.91419367607727
"V525",2.91270181070313
"V226",2.90603375449703
"V378",2.90244290472897
"V289",2.89078385910306
"V427",2.88759164614341
"V214",2.8738109669155
"V287",2.87271670313148
"V296",2.8686636625324
"V283",2.86680990108947
"V205",2.86495959041951
"V22",2.8619251819529
"V414",2.84641658862529
"V177",2.84290009597976
"V317",2.83620133928752
"V135",2.82859140826841
"V412",2.82324310601072
"V440",2.80956198974797
"V119",2.80365306201242
"V424",2.80246226600772
"V483",2.79984155424158
"V33",2.79728522931804
"V36",2.79657821268308
"V257",2.79265352575489
"V509",2.78858199393678
"V60",2.78073008826427
"V198",2.77962907593259
"V328",2.77417710680007
"V260",2.77143284124616
"V377",2.76999982032271
"V423",2.76984800454032
"V28",2.76733825786906
"V379",2.76668639903737
"V253",2.76558725702062
"V299",2.76285979892166
"V300",2.75771375945997
"V175",2.75715671753949
"V120",2.75550363705183
"V442",2.7517764666745
"V128",2.74157046990148
"V476",2.74129303021905
"V397",2.73744634388186
"V162",2.7276076348276
"V484",2.72425746203451
"V24",2.72375519412653
"V123",2.72240836532012
"V502",2.70730100162139
"V170",2.70260159623295
"V350",2.69658988642052
"V76",2.69330821730571
"V129",2.69306254436909
"V174",2.69153239049796
"V448",2.69133151373004
"V319",2.68868755264956
"V264",2.6874100890969
"V55",2.68288087021836
"V56",2.68278131623492
"V313",2.67948739372798
"V139",2.67779027761744
"V453",2.676694122958
"V278",2.67187398072681
"V41",2.67149589520897
"V523",2.66363995336844
"V340",2.66276958669429
"V109",2.65600052507035
"V173",2.65552597272965
"V151",2.6484223929805
"V420",2.64663247888239
"V35",2.64630594335936
"V158",2.62888890260244
"V380",2.61564098069664
"V298",2.61144323878245
"V133",2.61116095133855
"V297",2.60908759895239
"V115",2.60861369138096
"V236",2.60779916806692
"V292",2.60715540463853
"V486",2.60320485965065
"V252",2.60003068061648
"V27",2.58998102905292
"V526",2.58590838874642
"V258",2.58555772350315
"V447",2.58362354872159
"V459",2.58349408664275
"V153",2.58112154690303
"V361",2.57883298843764
"V12",2.57811539804484
"V62",2.57741715379891
"V237",2.57504080848322
"V89",2.56543131300801
"V106",2.56209642356715
"V197",2.53357274168748
"V111",2.53345693155663
"V385",2.53201228097815
"V21",2.51844422297664
"V232",2.51598857816973
"V487",2.49845582618201
"V107",2.49553854834866
"V277",2.4812984999053
"V485",2.47574570286943
"V422",2.47430752883609
"V421",2.46435159073851
"V436",2.45935857040377
"V238",2.44389925384866
"V360",2.43813121405638
"V23",2.43731946882367
"V363",2.43664547061953
"V48",2.43555088201814
"V127",2.43103755960767
"V357",2.42687145797351
"V85",2.41920180808885
"V167",2.40875384700215
"V121",2.40769677239822
"V235",2.39929916319733
"V171",2.39750464855848
"V234",2.38189327264625
"V413",2.37332487834521
"V209",2.36304639579918
"V286",2.36169611603745
"V402",2.34923052004309
"V130",2.34332819045347
"V351",2.34128027788284
"V46",2.34103818698291
"V438",2.33981478395726
"V503",2.33557359598567
"V102",2.32615468016619
"V415",2.31160711406487
"V43",2.31018645871872
"V454",2.30860125451535
"V188",2.29907918349347
"V488",2.29856185685752
"V144",2.28402635679331
"V19",2.27037650079173
"V293",2.25980682011163
